station_id,station_name,series_ticker,event_ticker,market_date,winning_ticker,yes_sub_title,no_sub_title,result,close_time,volume_fp
KBOS,Boston Logan,KXHIGHTBOS,KXHIGHTBOS-26APR04,2026-04-04,KXHIGHTBOS-26APR04-B62.5,62° to 63°,62° to 63°,yes,2026-04-05T05:00:00Z,14140.00
KDCA,Washington Reagan National,KXHIGHTDC,KXHIGHTDC-26APR04,2026-04-04,KXHIGHTDC-26APR04-B84.5,84° to 85°,84° to 85°,yes,2026-04-05T05:00:00Z,14073.00
KDEN,Denver International,KXHIGHDEN,KXHIGHDEN-26APR04,2026-04-04,KXHIGHDEN-26APR04-T61,60° or below,60° or below,yes,2026-04-05T06:59:00Z,23490.00
KDFW,Dallas Fort Worth,KXHIGHTDAL,KXHIGHTDAL-26APR04,2026-04-04,KXHIGHTDAL-26APR04-B74.5,74° to 75°,74° to 75°,yes,2026-04-05T06:00:00Z,38596.00
KHOU,Houston Hobby,KXHIGHTHOU,KXHIGHTHOU-26APR04,2026-04-04,KXHIGHTHOU-26APR04-B81.5,81° to 82°,81° to 82°,yes,2026-04-05T06:00:00Z,12575.00
KLAS,Las Vegas Reid International,KXHIGHTLV,KXHIGHTLV-26APR04,2026-04-04,KXHIGHTLV-26APR04-B78.5,78° to 79°,78° to 79°,yes,2026-04-05T08:00:00Z,12346.00
KLAX,Los Angeles International,KXHIGHLAX,KXHIGHLAX-26APR04,2026-04-04,KXHIGHLAX-26APR04-T85,86° or above,86° or above,yes,2026-04-05T07:59:00Z,67555.00
KMIA,Miami International,KXHIGHMIA,KXHIGHMIA-26APR04,2026-04-04,KXHIGHMIA-26APR04-B82.5,82° to 83°,82° to 83°,yes,2026-04-05T04:59:00Z,35959.00
KMSP,Minneapolis St Paul,KXHIGHTMIN,KXHIGHTMIN-26APR04,2026-04-04,KXHIGHTMIN-26APR04-B38.5,38° to 39°,38° to 39°,yes,2026-04-05T06:00:00Z,9922.00
KMSY,New Orleans Armstrong,KXHIGHTNOLA,KXHIGHTNOLA-26APR04,2026-04-04,KXHIGHTNOLA-26APR04-B82.5,82° to 83°,82° to 83°,yes,2026-04-05T06:00:00Z,9637.00
KNYC,New York Central Park,KXHIGHNY,KXHIGHNY-26APR04,2026-04-04,KXHIGHNY-26APR04-B72.5,72° to 73°,72° to 73°,yes,2026-04-05T04:59:00Z,102827.00
KOKC,Oklahoma City Will Rogers,KXHIGHTOKC,KXHIGHTOKC-26APR04,2026-04-04,KXHIGHTOKC-26APR04-B63.5,63° to 64°,63° to 64°,yes,2026-04-05T06:00:00Z,6604.00
KORD,Chicago OHare,KXHIGHCHI,KXHIGHCHI-26APR04,2026-04-04,KXHIGHCHI-26APR04-B59.5,59° to 60°,59° to 60°,yes,2026-04-05T05:59:00Z,32872.00
KPHL,Philadelphia International,KXHIGHPHIL,KXHIGHPHIL-26APR04,2026-04-04,KXHIGHPHIL-26APR04-B84.5,84° to 85°,84° to 85°,yes,2026-04-05T04:59:00Z,14706.00
KPHX,Phoenix Sky Harbor,KXHIGHTPHX,KXHIGHTPHX-26APR04,2026-04-04,KXHIGHTPHX-26APR04-B90.5,90° to 91°,90° to 91°,yes,2026-04-05T07:00:00Z,16507.00
KSAT,San Antonio International,KXHIGHTSATX,KXHIGHTSATX-26APR04,2026-04-04,KXHIGHTSATX-26APR04-B79.5,79° to 80°,79° to 80°,yes,2026-04-05T06:00:00Z,6994.00
KSEA,Seattle Tacoma,KXHIGHTSEA,KXHIGHTSEA-26APR04,2026-04-04,KXHIGHTSEA-26APR04-B63.5,63° to 64°,63° to 64°,yes,2026-04-05T08:00:00Z,8592.00
KSFO,San Francisco International,KXHIGHTSFO,KXHIGHTSFO-26APR04,2026-04-04,KXHIGHTSFO-26APR04-B80.5,80° to 81°,80° to 81°,yes,2026-04-05T08:00:00Z,20646.00
KATL,Atlanta Hartsfield,KXHIGHTATL,KXHIGHTATL-26APR05,2026-04-05,KXHIGHTATL-26APR05-B71.5,71° to 72°,71° to 72°,yes,2026-04-06T05:00:00Z,11430.00
KAUS,Austin Bergstrom,KXHIGHAUS,KXHIGHAUS-26APR05,2026-04-05,KXHIGHAUS-26APR05-B64.5,64° to 65°,64° to 65°,yes,2026-04-06T05:59:00Z,27604.00
KBOS,Boston Logan,KXHIGHTBOS,KXHIGHTBOS-26APR05,2026-04-05,KXHIGHTBOS-26APR05-T61,60° or below,60° or below,yes,2026-04-06T05:00:00Z,11541.00
KDCA,Washington Reagan National,KXHIGHTDC,KXHIGHTDC-26APR05,2026-04-05,KXHIGHTDC-26APR05-B73.5,73° to 74°,73° to 74°,yes,2026-04-06T05:00:00Z,31188.00
