station_id,station_name,forecast_issued_utc,forecast_for_date,forecast_high_f,n_hours_in_forecast,forecast_issued_local
KNYC,New York Central Park,2026-04-09 13:27 UTC,2026-04-10,62,24,2026-04-09 09:27 EDT
KNYC,New York Central Park,2026-04-09 15:24 UTC,2026-04-10,62,24,2026-04-09 11:24 EDT
KNYC,New York Central Park,2026-04-09 17:08 UTC,2026-04-10,62,24,2026-04-09 13:08 EDT
KNYC,New York Central Park,2026-04-09 19:07 UTC,2026-04-10,59,24,2026-04-09 15:07 EDT
KNYC,New York Central Park,2026-04-09 20:52 UTC,2026-04-10,59,24,2026-04-09 16:52 EDT
KNYC,New York Central Park,2026-04-09 22:41 UTC,2026-04-10,59,24,2026-04-09 18:41 EDT
KNYC,New York Central Park,2026-04-10 05:58 UTC,2026-04-11,59,24,2026-04-10 01:58 EDT
KNYC,New York Central Park,2026-04-10 07:51 UTC,2026-04-11,60,24,2026-04-10 03:51 EDT
KNYC,New York Central Park,2026-04-10 09:12 UTC,2026-04-11,60,24,2026-04-10 05:12 EDT
KNYC,New York Central Park,2026-04-10 15:12 UTC,2026-04-11,60,24,2026-04-10 11:12 EDT
KNYC,New York Central Park,2026-04-10 16:52 UTC,2026-04-11,60,24,2026-04-10 12:52 EDT
KNYC,New York Central Park,2026-04-10 20:36 UTC,2026-04-11,60,24,2026-04-10 16:36 EDT
KNYC,New York Central Park,2026-04-10 22:38 UTC,2026-04-11,60,24,2026-04-10 18:38 EDT
KNYC,New York Central Park,2026-04-11 05:25 UTC,2026-04-12,52,24,2026-04-11 01:25 EDT
KNYC,New York Central Park,2026-04-11 07:02 UTC,2026-04-12,52,24,2026-04-11 03:02 EDT
KNYC,New York Central Park,2026-04-11 08:43 UTC,2026-04-12,57,24,2026-04-11 04:43 EDT
KNYC,New York Central Park,2026-04-11 10:34 UTC,2026-04-12,57,24,2026-04-11 06:34 EDT
KNYC,New York Central Park,2026-04-11 12:58 UTC,2026-04-12,57,24,2026-04-11 08:58 EDT
KNYC,New York Central Park,2026-04-11 14:37 UTC,2026-04-12,57,24,2026-04-11 10:37 EDT
KNYC,New York Central Park,2026-04-11 16:37 UTC,2026-04-12,57,24,2026-04-11 12:37 EDT
KNYC,New York Central Park,2026-04-11 18:44 UTC,2026-04-12,55,24,2026-04-11 14:44 EDT
KNYC,New York Central Park,2026-04-11 20:33 UTC,2026-04-12,55,24,2026-04-11 16:34 EDT
KNYC,New York Central Park,2026-04-11 22:33 UTC,2026-04-12,55,24,2026-04-11 18:33 EDT
KNYC,New York Central Park,2026-04-12 05:54 UTC,2026-04-13,74,24,2026-04-12 01:54 EDT
KNYC,New York Central Park,2026-04-12 07:14 UTC,2026-04-13,76,24,2026-04-12 03:14 EDT
