station_id,station_name,date,observed_high_f
KSAT,San Antonio International,2025-02-25,80
KSAT,San Antonio International,2025-02-26,82
KSAT,San Antonio International,2025-02-27,70
KSAT,San Antonio International,2025-02-28,78
KSAT,San Antonio International,2025-03-01,84
KSAT,San Antonio International,2025-03-02,83
KSAT,San Antonio International,2025-03-03,79
KSAT,San Antonio International,2025-03-04,77
KSAT,San Antonio International,2025-03-05,75
KSAT,San Antonio International,2025-03-06,78
KSAT,San Antonio International,2025-03-07,85
KSAT,San Antonio International,2025-03-08,89
KSAT,San Antonio International,2025-03-09,68
KSAT,San Antonio International,2025-03-10,77
KSAT,San Antonio International,2025-03-11,84
KSAT,San Antonio International,2025-03-12,93
KSAT,San Antonio International,2025-03-13,91
KSAT,San Antonio International,2025-03-14,96
KSAT,San Antonio International,2025-03-15,79
KSAT,San Antonio International,2025-03-16,82
KSAT,San Antonio International,2025-03-17,84
KSAT,San Antonio International,2025-03-18,89
KSAT,San Antonio International,2025-03-19,81
KSAT,San Antonio International,2025-03-20,72
KSAT,San Antonio International,2025-03-21,79
KSAT,San Antonio International,2025-03-22,85
KSAT,San Antonio International,2025-03-23,89
KSAT,San Antonio International,2025-03-24,87
KSAT,San Antonio International,2025-03-25,91
KSAT,San Antonio International,2025-03-26,83
KSAT,San Antonio International,2025-03-27,69
KSAT,San Antonio International,2025-03-28,78
KSAT,San Antonio International,2025-03-29,89
KSAT,San Antonio International,2025-03-30,82
KSAT,San Antonio International,2025-03-31,87
KSAT,San Antonio International,2025-04-01,87
KSAT,San Antonio International,2025-04-02,88
KSAT,San Antonio International,2025-04-03,93
KSAT,San Antonio International,2025-04-04,91
KSAT,San Antonio International,2025-04-05,76
KSAT,San Antonio International,2025-04-06,61
KSAT,San Antonio International,2025-04-07,74
KSAT,San Antonio International,2025-04-08,79
KSAT,San Antonio International,2025-04-09,87
KSAT,San Antonio International,2025-04-10,91
KSAT,San Antonio International,2025-04-11,90
KSAT,San Antonio International,2025-04-12,91
KSAT,San Antonio International,2025-04-13,92
KSAT,San Antonio International,2025-04-14,92
KSAT,San Antonio International,2025-04-15,82
KSAT,San Antonio International,2025-04-16,85
KSAT,San Antonio International,2025-04-17,89
KSAT,San Antonio International,2025-04-18,92
KSAT,San Antonio International,2025-04-19,83
KSAT,San Antonio International,2025-04-20,84
KSAT,San Antonio International,2025-04-21,87
KSAT,San Antonio International,2025-04-22,87
KSAT,San Antonio International,2025-04-23,81
KSAT,San Antonio International,2025-04-24,84
KSAT,San Antonio International,2025-04-25,86
KSAT,San Antonio International,2025-04-26,84
KSAT,San Antonio International,2025-04-27,86
KSAT,San Antonio International,2025-04-28,86
KSAT,San Antonio International,2025-04-29,88
KSAT,San Antonio International,2025-04-30,90
KSAT,San Antonio International,2025-05-01,90
KSAT,San Antonio International,2025-05-02,87
KSAT,San Antonio International,2025-05-03,83
KSAT,San Antonio International,2025-05-04,83
KSAT,San Antonio International,2025-05-05,81
KSAT,San Antonio International,2025-05-06,90
KSAT,San Antonio International,2025-05-07,87
KSAT,San Antonio International,2025-05-08,87
KSAT,San Antonio International,2025-05-09,85
KSAT,San Antonio International,2025-05-10,85
KSAT,San Antonio International,2025-05-11,86
KSAT,San Antonio International,2025-05-12,94
KSAT,San Antonio International,2025-05-13,103
KSAT,San Antonio International,2025-05-14,102
KSAT,San Antonio International,2025-05-15,98
KSAT,San Antonio International,2025-05-16,99
KSAT,San Antonio International,2025-05-17,99
KSAT,San Antonio International,2025-05-18,97
KSAT,San Antonio International,2025-05-19,92
KSAT,San Antonio International,2025-05-20,100
KSAT,San Antonio International,2025-05-21,97
